Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
0.1,47.2,0.33,183.75,3.28,17.14
0.1,45.82,0.33,181.66,3.28,17.09
0.1,44.62,0.33,185.46,3.28,16.79
0.07,43.0,0.3,186.63,3.28,16.65
0.07,41.44,0.3,179.14,3.28,16.94
0.07,40.13,0.3,183.5,3.28,16.81
0.07,38.47,0.3,188.04,3.28,16.7
0.07,36.99,0.3,191.05,3.28,16.31
0.07,35.35,0.3,189.03,3.28,16.61
0.07,33.95,0.3,184.59,3.28,16.88
0.07,32.36,0.3,185.23,3.28,16.62
0.07,30.92,0.3,188.5,3.28,16.79
0.1,29.54,0.27,192.53,3.28,16.45
0.1,28.28,0.27,185.3,3.28,16.55
0.1,27.05,0.27,193.3,3.28,16.26
0.1,25.86,0.27,184.55,3.28,16.57
0.1,24.83,0.27,191.3,3.28,16.38
0.1,23.72,0.27,189.43,3.28,16.8
0.1,22.87,0.27,185.11,3.28,17.19
0.1,21.87,0.27,191.86,3.28,16.61
0.1,21.0,0.27,184.75,3.28,16.7
0.08,20.24,0.25,185.25,3.28,16.83
0.08,19.67,0.25,188.01,3.28,16.9
0.08,19.12,0.25,187.18,3.28,17.01
0.08,18.69,0.25,185.9,3.28,16.65
0.08,18.27,0.25,188.3,3.28,16.64
0.08,17.9,0.25,182.46,3.28,16.98
0.08,17.55,0.25,180.84,3.28,17.1
0.08,17.23,0.25,180.39,3.28,17.14
0.08,16.93,0.25,179.81,3.28,17.18
0.08,16.71,0.23,186.18,3.28,17.21
0.08,16.47,0.25,179.53,3.44,17.28
0.08,16.27,0.25,183.4,3.44,17.07
0.08,16.13,0.25,176.25,3.44,17.35
0.08,15.98,0.25,189.45,3.44,16.62
0.08,15.87,0.25,184.44,3.44,16.83
0.08,15.78,0.25,181.64,3.44,17.11
0.08,15.69,0.25,178.56,3.44,17.03
0.08,15.58,0.26,179.5,3.61,17.17
0.08,15.49,0.24,182.74,3.61,16.95
0.08,15.45,0.24,180.76,3.61,17.44
0.08,15.4,0.24,178.93,3.61,16.97
0.08,15.34,0.24,183.41,3.61,16.95
0.08,15.27,0.24,183.55,3.61,16.94
0.08,15.21,0.24,186.04,3.61,16.99
0.08,15.18,0.24,190.71,3.61,16.9
0.08,15.15,0.24,177.25,3.61,17.37
0.08,15.14,0.24,178.04,3.61,17.13
0.08,15.12,0.24,178.75,3.61,17.47
0.08,15.1,0.23,181.79,3.61,17.25
0.08,15.08,0.23,180.59,3.61,17.26
0.08,15.07,0.23,179.54,3.61,17.34
0.08,15.04,0.23,179.64,3.61,17.15
0.08,15.05,0.23,175.18,3.61,17.67
0.08,15.03,0.23,187.8,3.61,16.97
0.08,15.03,0.23,178.25,3.61,17.28
0.08,15.01,0.23,182.34,3.61,17.32
0.08,15.0,0.23,182.19,3.61,17.4
0.08,15.02,0.21,173.89,3.61,17.3
0.08,15.01,0.21,179.83,3.61,17.27
0.08,15.0,0.21,180.54,3.61,17.23
0.08,15.0,0.21,184.8,3.61,17.19
0.08,15.04,0.21,178.63,3.61,17.61
0.08,15.04,0.21,176.64,3.61,17.5
0.08,15.05,0.21,176.89,3.61,17.21
0.08,15.08,0.21,179.49,3.61,17.19
0.08,15.08,0.21,177.18,3.61,17.44
0.06,15.08,0.2,177.39,3.61,17.27
0.06,15.07,0.2,176.28,3.61,17.63
0.06,15.05,0.2,183.89,3.61,17.34
0.06,15.09,0.2,175.3,3.61,17.5
0.06,15.06,0.2,183.93,3.61,17.0
0.06,15.07,0.2,176.73,3.61,17.57
0.06,15.1,0.2,174.74,3.61,17.62
0.06,15.13,0.21,178.94,3.77,17.21
0.06,15.15,0.21,181.13,3.77,17.21
0.05,15.15,0.2,179.45,3.77,17.4
0.05,15.17,0.2,176.19,3.77,17.43
0.05,15.18,0.2,182.05,3.77,17.28
0.05,15.19,0.2,181.06,3.77,17.36
0.05,15.21,0.2,185.2,3.77,17.09
0.05,15.25,0.2,176.4,3.77,17.2
0.05,15.27,0.2,175.15,3.77,17.11
0.05,15.28,0.2,179.38,3.77,17.03
0.05,15.31,0.2,178.11,3.77,17.29
0.05,15.33,0.2,168.24,3.93,17.64
0.05,15.38,0.2,175.29,3.93,17.56
0.05,15.39,0.2,177.19,3.93,17.65
0.05,15.39,0.2,179.93,3.93,17.26
0.05,15.4,0.2,180.13,3.93,17.5
0.05,15.4,0.2,182.68,3.93,17.12
0.05,15.41,0.2,175.5,3.93,17.6
0.05,15.4,0.2,173.16,3.93,17.85
0.05,15.44,0.2,180.38,3.93,17.58
0.06,15.42,0.19,177.84,3.93,17.49
0.06,15.45,0.19,172.68,3.93,17.7
0.06,15.47,0.19,176.3,3.93,17.51
0.06,15.51,0.19,172.89,3.93,17.6
0.06,15.52,0.19,175.58,3.93,17.81
0.06,15.52,0.19,174.68,3.93,17.46
0.06,15.55,0.19,176.66,3.93,17.31
0.06,15.52,0.19,169.68,3.93,17.86
0.06,15.56,0.19,172.96,3.93,17.52
0.07,15.51,0.18,177.21,3.93,17.46
0.07,15.53,0.18,179.06,3.93,17.66
0.07,15.55,0.18,174.49,3.93,17.83
0.07,15.56,0.18,178.68,3.93,17.43
0.07,15.57,0.18,176.14,3.93,17.58
0.07,15.58,0.18,179.31,3.93,17.27
0.07,15.57,0.18,176.23,3.93,17.28
0.07,15.59,0.18,178.36,3.93,17.17
0.07,15.61,0.18,187.98,3.93,17.14
0.06,15.58,0.17,172.45,3.93,17.69
0.06,15.57,0.17,172.43,3.93,17.56
0.06,15.55,0.17,180.0,3.93,17.09
0.06,15.51,0.17,178.43,3.93,17.68
0.06,15.52,0.17,174.2,3.93,17.31
0.06,15.54,0.17,183.01,3.93,17.12
0.06,15.56,0.17,177.76,3.93,17.36
0.06,15.55,0.17,176.0,3.93,17.82
0.06,15.54,0.17,172.06,3.93,17.73
0.02,15.53,0.16,174.23,3.93,17.76
0.02,15.53,0.16,178.94,3.93,17.18
0.02,15.52,0.16,181.29,3.93,17.47
0.02,15.48,0.16,179.03,3.93,17.27
